rate_avg,photos_count,superhost,latitude,longitude,guests,bedrooms,beds,baths,min_nights,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,Hotel_Occupancy_Percentage,Average_Daily_Rate,Revenue_Per_Available_Room,is_winter,is_spring,is_summer,is_fall,num_public_holidays,num_major_events,non_resident_visitors,month,is_april,is_august,is_february,is_july,is_june,is_march,is_may,is_november,is_october,is_september,has_free_parking,has_gym,has_pool,listing_type_Entire condo,listing_type_Entire condominium,listing_type_Entire guest suite,listing_type_Entire guesthouse,listing_type_Entire home,listing_type_Entire house,listing_type_Entire loft,listing_type_Entire place,listing_type_Entire rental unit,listing_type_Entire townhouse,listing_type_Private room,listing_type_Private room in bungalow,listing_type_Private room in condo,listing_type_Private room in cottage,listing_type_Private room in guest suite,listing_type_Private room in guesthouse,listing_type_Private room in home,listing_type_Private room in loft,listing_type_Private room in rental unit,listing_type_Private room in townhouse,room_type_private_room,cancellation_policy_Flexible,cancellation_policy_Limited,cancellation_policy_Moderate,cancellation_policy_Strict,cancellation_policy_Super Strict 30 Days,avg_temp
77.9,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.6638,204.04,135.44,1,0,0,0,1,0,197392,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.925
77.4,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.6805,226.44,154.1,0,1,0,0,0,0,251406,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7699999999999998
93.2,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.7364,223.71,164.75,0,1,0,0,1,0,322508,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04
78.3,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.7797,242.83,189.35,0,1,0,0,1,0,384863,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.889999999999999
76.2,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.8139,245.37,199.71,0,0,1,0,0,1,514456,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47
75.7,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.8318,246.97,205.43,0,0,1,0,1,0,584440,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.215
75.3,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.861,258.37,222.46,0,0,1,0,1,3,480120,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.435000000000002
78.3,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.8008,283.12,226.73,0,0,0,1,1,1,411833,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47
79.2,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.7933,270.71,214.76,0,0,0,1,1,0,381184,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.535
77.2,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.7303,253.67,185.26,0,0,0,1,1,0,259534,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.164999999999999
73.6,31,0,43.6729,-79.3526,2,1,2,1.0,28,0,0,57,4.89,5.0,5.0,4.9,4.9,4.9,4.9,0.5968,207.67,123.94,1,0,0,0,2,1,346898,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11
75.4,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.6638,204.04,135.44,1,0,0,0,1,0,197392,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3.925
76.1,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.6805,226.44,154.1,0,1,0,0,0,0,251406,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7699999999999998
77.0,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.7364,223.71,164.75,0,1,0,0,1,0,322508,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.04
79.5,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.7797,242.83,189.35,0,1,0,0,1,0,384863,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.889999999999999
74.1,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.8139,245.37,199.71,0,0,1,0,0,1,514456,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.47
73.0,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.8318,246.97,205.43,0,0,1,0,1,0,584440,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.215
72.9,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.861,258.37,222.46,0,0,1,0,1,3,480120,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.435000000000002
70.4,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.8008,283.12,226.73,0,0,0,1,1,1,411833,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.47
68.9,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.7933,270.71,214.76,0,0,0,1,1,0,381184,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.535
66.8,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.7303,253.67,185.26,0,0,0,1,1,0,259534,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.164999999999999
66.9,25,0,43.6705,-79.2957,4,1,2,1.0,28,0,0,85,4.8,4.7,5.0,4.7,5.0,4.9,4.8,0.5968,207.67,123.94,1,0,0,0,2,1,346898,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.11
280.8,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.6638,204.04,135.44,1,0,0,0,1,0,197392,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.925
293.0,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.6805,226.44,154.1,0,1,0,0,0,0,251406,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7699999999999998
287.6,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.7364,223.71,164.75,0,1,0,0,1,0,322508,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.04
295.2,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.7797,242.83,189.35,0,1,0,0,1,0,384863,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.889999999999999
307.9,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.8139,245.37,199.71,0,0,1,0,0,1,514456,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.47
292.3,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.8318,246.97,205.43,0,0,1,0,1,0,584440,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.215
297.5,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.861,258.37,222.46,0,0,1,0,1,3,480120,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21.435000000000002
299.6,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.8008,283.12,226.73,0,0,0,1,1,1,411833,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.47
296.7,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.7933,270.71,214.76,0,0,0,1,1,0,381184,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.535
295.7,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.7303,253.67,185.26,0,0,0,1,1,0,259534,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.164999999999999
299.4,22,0,43.6744,-79.3201,5,3,3,2.0,7,71,0,155,4.95,5.0,5.0,4.9,5.0,4.8,4.8,0.5968,207.67,123.94,1,0,0,0,2,1,346898,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.11
99.1,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.6638,204.04,135.44,1,0,0,0,1,0,197392,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.925
108.6,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.6805,226.44,154.1,0,1,0,0,0,0,251406,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7699999999999998
105.5,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.7364,223.71,164.75,0,1,0,0,1,0,322508,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.04
131.1,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.7797,242.83,189.35,0,1,0,0,1,0,384863,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.889999999999999
143.7,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.8139,245.37,199.71,0,0,1,0,0,1,514456,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.47
136.1,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.8318,246.97,205.43,0,0,1,0,1,0,584440,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.215
125.0,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.861,258.37,222.46,0,0,1,0,1,3,480120,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21.435000000000002
117.1,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.8008,283.12,226.73,0,0,0,1,1,1,411833,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.47
119.1,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.7933,270.71,214.76,0,0,0,1,1,0,381184,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.535
120.2,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.7303,253.67,185.26,0,0,0,1,1,0,259534,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.164999999999999
118.6,13,1,43.6746,-79.3886,4,1,0,1.0,31,0,0,49,4.96,5.0,5.0,5.0,5.0,5.0,4.9,0.5968,207.67,123.94,1,0,0,0,2,1,346898,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.11
87.8,15,0,43.6879,-79.4394,2,1,1,1.0,28,0,0,102,4.85,4.9,5.0,4.9,5.0,4.7,4.8,0.6638,204.04,135.44,1,0,0,0,1,0,197392,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.925
85.0,15,0,43.6879,-79.4394,2,1,1,1.0,28,0,0,102,4.85,4.9,5.0,4.9,5.0,4.7,4.8,0.6805,226.44,154.1,0,1,0,0,0,0,251406,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7699999999999998
87.5,15,0,43.6879,-79.4394,2,1,1,1.0,28,0,0,102,4.85,4.9,5.0,4.9,5.0,4.7,4.8,0.7364,223.71,164.75,0,1,0,0,1,0,322508,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.04
92.1,15,0,43.6879,-79.4394,2,1,1,1.0,28,0,0,102,4.85,4.9,5.0,4.9,5.0,4.7,4.8,0.7797,242.83,189.35,0,1,0,0,1,0,384863,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.889999999999999
96.6,15,0,43.6879,-79.4394,2,1,1,1.0,28,0,0,102,4.85,4.9,5.0,4.9,5.0,4.7,4.8,0.8139,245.37,199.71,0,0,1,0,0,1,514456,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.47
